Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2013,11034074,Not Entered,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,,,1,,,HUMAN,Unknown,HUMAN,Unknown,Not Applicable,
2013,11560358,PICKUP TRUCK,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,2006,AK,4,,TOYT,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,5TBET34116S
2013,11610502,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2008,CT,1,,NISS,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,3N1AB61E38L
2013,10931825,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,West,Not Entered,2007,CT,1,,VOLV,ENVMT,View Obstructed/Limited,HUMAN,Failure to Yield Right-of-Way,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",YV1RH592672
2013,11115701,4 DOOR SEDAN,Not Entered,Parked,Not Entered,Unknown,Not Entered,2008,CT,0,,HYUN,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,5NPET46C98H
2013,10999745,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,East,Not Entered,2009,MN,1,,VOLV,HUMAN,Following Too Closely,HUMAN,Not Applicable,Not Entered,
2013,11526173,FIRE VEHICLE,Not Entered,Going Straight Ahead,Not Entered,Southeast,Not Entered,2009,NY,1,,SPTN,HUMAN,Passing or Lane Usage Improper,HUMAN,Not Applicable,Not Applicable,4S7AU2F969C
2013,11423026,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,Southeast,Not Entered,2005,PA,3,,CHRY,HUMAN,Aggressive Driving/Road Rage,HUMAN,Failure to Keep Right,Not Applicable,3C4FY48B05T
2013,11308219,SUBURBAN,Not Entered,Going Straight Ahead,Not Entered,Northwest,Not Entered,2006,CT,1,,TOYT,HUMAN,Failure to Yield Right-of-Way,HUMAN,Not Applicable,Not Applicable,
2013,11633945,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,Southeast,Not Entered,2013,NY,2,,HYUN,HUMAN,Following Too Closely,HUMAN,Not Applicable,Not Applicable,
